grad(p):0,grad(p):1,grad(p):2
0.0002213,5.59E-05,0
0.00020223,6.49E-05,-4.51E-23
0.00018292,7.35E-05,-4.61E-20
0.00016382,8.09E-05,4.36E-20
0.00014526,8.69E-05,4.30E-20
0.00012757,9.13E-05,-4.09E-20
0.00011096,9.43E-05,7.83E-23
9.56E-05,9.61E-05,-7.69E-23
8.14E-05,9.67E-05,0
6.86E-05,9.64E-05,0
5.69E-05,9.54E-05,3.84E-20
4.65E-05,9.37E-05,-7.53E-20
3.71E-05,9.15E-05,3.69E-20
2.89E-05,8.89E-05,0
2.16E-05,8.60E-05,2.91E-22
1.52E-05,8.28E-05,0
9.67E-06,7.95E-05,-1.45E-22
4.86E-06,7.62E-05,0
7.05E-07,7.27E-05,-3.86E-20
-2.85E-06,6.93E-05,-8.53E-22
-5.90E-06,6.59E-05,3.89E-20
-8.48E-06,6.25E-05,-3.99E-20
-1.07E-05,5.92E-05,4.04E-20
-1.25E-05,5.59E-05,0
-1.41E-05,5.28E-05,2.14E-20
-1.54E-05,4.98E-05,-2.18E-20
-1.66E-05,4.69E-05,0
-1.75E-05,4.41E-05,-2.34E-20
-1.83E-05,4.15E-05,4.82E-20
-1.90E-05,3.89E-05,-2.49E-20
-1.97E-05,3.66E-05,-2.61E-20
-2.02E-05,3.43E-05,2.68E-20
-2.07E-05,3.21E-05,2.21E-22
-2.11E-05,3.00E-05,3.01E-20
-2.15E-05,2.80E-05,-3.12E-20
-2.18E-05,2.61E-05,-1.64E-20
-2.21E-05,2.43E-05,3.47E-20
-2.24E-05,2.25E-05,-1.85E-20
-2.26E-05,2.08E-05,1.94E-20
-2.28E-05,1.93E-05,-2.05E-20
-2.29E-05,1.77E-05,1.70E-22
-2.31E-05,1.63E-05,4.56E-23
-2.32E-05,1.50E-05,0
-2.33E-05,1.37E-05,-1.03E-22
-2.33E-05,1.25E-05,0
-2.34E-05,1.13E-05,-1.18E-22
-2.35E-05,1.02E-05,0
-2.35E-05,9.06E-06,0
-2.36E-05,7.89E-06,-7.28E-23
-2.36E-05,6.74E-06,-7.83E-23
-2.37E-05,5.54E-06,-4.24E-23
-2.37E-05,4.29E-06,-1.17E-20
-2.37E-05,3.12E-06,1.26E-20
-2.38E-05,2.00E-06,6.83E-21
-2.38E-05,9.66E-07,-1.46E-20
-2.39E-05,-6.81E-08,7.91E-21
-2.39E-05,-9.30E-07,-4.24E-21
-2.40E-05,-1.14E-06,4.63E-21
-2.40E-05,-5.11E-07,0
0.00018356,-5.37E-05,4.59E-19
0.00014765,-9.50E-05,-1.31E-22
0.00017899,-6.64E-05,-3.86E-19
0.00020591,-3.88E-05,3.57E-19
0.00021957,-2.32E-05,-1.21E-22
0.00022822,-1.21E-05,-3.03E-19
0.00023604,-1.21E-06,2.80E-19
0.00024316,9.63E-06,1.61E-22
0.00024903,1.97E-05,-6.57E-23
0.00025321,2.82E-05,0
0.00025541,3.43E-05,4.83E-23
0.00025544,3.73E-05,1.96E-22
0.00025347,3.70E-05,4.21E-23
0.0002498,3.37E-05,1.71E-22
0.00024487,2.82E-05,-7.92E-20
0.00023904,2.17E-05,7.43E-20
0.00023261,1.55E-05,6.48E-23
0.00022566,1.11E-05,0
0.00021809,9.50E-06,0
0.00020967,1.13E-05,0
0.0002001,1.66E-05,5.45E-20
0.00018918,2.45E-05,-5.11E-20
0.00017689,3.41E-05,9.25E-23
0.00016338,4.41E-05,-4.63E-20
0.00014898,5.36E-05,4.46E-20
0.00013421,6.20E-05,0
0.00011948,6.89E-05,0
0.00010519,7.43E-05,0
9.16E-05,7.82E-05,-3.99E-20
7.88E-05,8.08E-05,3.83E-20
6.70E-05,8.22E-05,0
5.63E-05,8.26E-05,-3.88E-20
4.65E-05,8.22E-05,3.70E-20
3.78E-05,8.12E-05,-3.76E-20
3.00E-05,7.96E-05,3.64E-20
2.31E-05,7.76E-05,-5.79E-22
1.70E-05,7.52E-05,-3.73E-20
1.18E-05,7.26E-05,3.77E-20
7.15E-06,6.99E-05,0
3.19E-06,6.70E-05,3.00E-22
-2.42E-07,6.40E-05,3.96E-20
-3.17E-06,6.10E-05,-3.93E-20
-5.67E-06,5.80E-05,4.04E-20
-7.80E-06,5.50E-05,-4.13E-20
-9.60E-06,5.21E-05,0
-1.11E-05,4.92E-05,0
-1.24E-05,4.65E-05,-6.91E-22
-1.36E-05,4.38E-05,0
-1.45E-05,4.12E-05,7.38E-22
-1.53E-05,3.87E-05,0
-1.61E-05,3.64E-05,7.96E-22
-1.67E-05,3.41E-05,-2.65E-20
-1.72E-05,3.20E-05,2.71E-20
-1.77E-05,2.99E-05,-2.28E-22
-1.81E-05,2.79E-05,4.77E-22
-1.85E-05,2.60E-05,1.56E-20
-1.88E-05,2.42E-05,-1.69E-20
-1.91E-05,2.25E-05,1.86E-20
-1.94E-05,2.08E-05,-1.89E-20
-1.96E-05,1.92E-05,-2.01E-20
-1.97E-05,1.77E-05,2.15E-20
-1.99E-05,1.63E-05,0
-2.00E-05,1.49E-05,1.25E-20
-2.01E-05,1.36E-05,-2.57E-20
-2.02E-05,1.25E-05,1.38E-20
-2.03E-05,1.13E-05,3.46E-22
-2.04E-05,1.01E-05,1.61E-20
-2.05E-05,8.99E-06,-1.72E-20
-2.05E-05,7.81E-06,9.48E-21
-2.06E-05,6.56E-06,-9.88E-21
-2.07E-05,5.34E-06,0
-2.07E-05,4.15E-06,0
-2.08E-05,2.93E-06,0
-2.09E-05,1.77E-06,6.56E-21
-2.09E-05,6.71E-07,-1.44E-20
-2.10E-05,-3.69E-07,7.59E-21
-2.10E-05,-1.25E-06,-3.27E-23
-2.10E-05,-1.41E-06,2.25E-21
-2.10E-05,-5.28E-07,-2.44E-21
0.00012771,-4.01E-05,0
9.73E-05,-7.25E-05,-4.50E-19
0.00011588,-5.70E-05,4.15E-19
0.00013259,-4.15E-05,-1.91E-22
0.00014212,-3.16E-05,8.29E-23
0.00014935,-2.32E-05,0
0.00015622,-1.43E-05,2.99E-19
0.00016259,-5.10E-06,7.23E-23
0.00016857,4.49E-06,-5.13E-19
0.00017419,1.43E-05,2.38E-19
0.00017886,2.35E-05,2.21E-22
0.00018229,3.11E-05,-6.06E-22
0.0001842,3.62E-05,-3.83E-22
0.00018449,3.79E-05,-5.28E-22
0.00018337,3.60E-05,-1.59E-22
0.00018123,3.09E-05,-2.98E-22
0.00017857,2.36E-05,0
0.00017569,1.54E-05,-6.94E-20
0.0001728,8.03E-06,6.50E-20
0.00016983,2.89E-06,-6.11E-20
0.00016647,1.05E-06,5.72E-20
0.00016227,2.97E-06,0
0.00015685,8.33E-06,0
0.00014983,1.62E-05,-3.69E-22
0.00014124,2.56E-05,-3.53E-22
0.00013126,3.53E-05,-7.01E-22
0.00012026,4.44E-05,0
0.00010868,5.23E-05,4.13E-20
9.69E-05,5.89E-05,-3.89E-20
8.54E-05,6.41E-05,3.92E-20
7.44E-05,6.79E-05,-3.89E-20
6.39E-05,7.05E-05,3.85E-20
5.43E-05,7.20E-05,-7.42E-20
4.55E-05,7.25E-05,-1.94E-21
3.75E-05,7.23E-05,7.44E-20
3.03E-05,7.15E-05,-7.26E-20
2.39E-05,7.02E-05,-1.89E-21
1.83E-05,6.85E-05,7.30E-20
1.34E-05,6.64E-05,-7.42E-20
9.04E-06,6.42E-05,3.71E-20
5.30E-06,6.17E-05,-5.95E-22
2.06E-06,5.91E-05,0
-7.23E-07,5.65E-05,-3.96E-20
-3.12E-06,5.38E-05,4.05E-20
-5.17E-06,5.11E-05,-1.94E-20
-6.92E-06,4.85E-05,2.10E-20
-8.43E-06,4.58E-05,-6.72E-22
-9.71E-06,4.32E-05,0
-1.08E-05,4.08E-05,-7.26E-22
-1.18E-05,3.84E-05,2.41E-20
-1.26E-05,3.61E-05,-2.57E-20
-1.33E-05,3.38E-05,-2.61E-20
