grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8
-0.0084157,-0.02168,-6.53E-21,0.1498,0.0090914,-4.18E-20,-9.43E-18,9.70E-19,-1.88E-37
-0.012373,-0.020693,6.73E-20,0.10946,0.012942,7.66E-20,1.35E-20,-1.42E-21,1.64E-39
-0.014234,-0.019628,-1.14E-19,0.082595,0.014699,-5.75E-20,-9.42E-18,6.82E-19,-6.63E-38
-0.014899,-0.018513,-1.94E-20,0.063873,0.015297,-7.72E-20,8.75E-18,-6.33E-19,6.16E-38
-0.014852,-0.017392,5.97E-20,0.050453,0.015194,5.86E-20,-5.34E-22,-4.66E-22,1.19E-39
-0.01438,-0.016306,5.39E-20,0.040641,0.014673,3.55E-22,-7.12E-21,1.00E-21,-2.36E-39
-0.013662,-0.015281,-4.86E-20,0.033355,0.01391,-4.78E-22,7.60E-21,-1.28E-22,9.67E-44
-0.012806,-0.014334,-6.61E-20,0.02786,0.013015,-8.48E-20,0,0,0
-0.011882,-0.01347,5.76E-20,0.02366,0.012057,6.81E-20,6.90E-18,-1.37E-19,-4.71E-38
-0.010934,-0.01269,2.11E-21,0.020393,0.011079,4.00E-21,-6.44E-18,1.28E-19,4.40E-38
-0.0099891,-0.011987,-5.32E-20,0.017808,0.010107,-3.72E-21,6.17E-18,-3.09E-20,-3.93E-38
-0.0090623,-0.011353,6.10E-20,0.015733,0.0091571,7.91E-20,-5.77E-18,2.89E-20,3.68E-38
-0.0081628,-0.010776,-7.00E-21,0.014038,0.0082386,-6.59E-20,2.12E-20,-2.02E-22,4.04E-43
-0.0072971,-0.010246,-5.63E-20,0.012633,0.0073569,1.33E-22,4.59E-22,5.70E-22,2.84E-39
-0.006468,-0.0097518,5.83E-20,0.011455,0.006515,6.89E-20,-1.95E-20,-5.93E-22,-1.32E-40
-0.0056794,-0.0092838,-6.16E-21,0.010451,0.0057149,-5.81E-20,-4.76E-18,-1.19E-19,-2.97E-38
-0.0049314,-0.0088343,-8.86E-21,0.009595,0.004958,-6.81E-20,4.44E-18,1.11E-19,2.90E-38
-0.0042261,-0.0083967,8.02E-21,0.0088644,0.0042458,5.84E-20,0,0,0
-0.003565,-0.0079668,-4.22E-22,0.0082385,0.0035798,-2.09E-24,3.51E-22,6.35E-22,3.17E-41
-0.002951,-0.0075415,3.18E-21,0.0077052,0.0029617,-4.54E-22,0,0,0
-0.0023848,-0.00712,-3.58E-21,0.0072558,0.002393,4.16E-22,2.95E-20,1.48E-21,2.32E-40
-0.0018683,-0.0067024,-3.86E-21,0.0068798,0.0018744,-2.88E-20,-2.80E-20,-5.67E-22,9.25E-44
-0.0014014,-0.0062902,6.83E-21,0.0065679,0.0014066,5.35E-20,1.76E-18,8.05E-20,5.65E-38
-0.00098567,-0.0058853,4.58E-21,0.0063112,0.00098997,3.17E-21,-3.31E-18,-1.53E-19,-1.10E-37
-0.00061927,-0.0054905,2.30E-20,0.006102,0.00062336,-5.38E-20,1.61E-18,7.52E-20,5.94E-38
-0.00030125,-0.0051084,-2.53E-20,0.0059314,0.00030516,2.50E-20,0,0,0
-2.97E-05,-0.0047415,3.14E-20,0.0057904,3.31E-05,-2.89E-20,4.88E-20,2.56E-21,-1.66E-41
0.00019952,-0.0043921,4.68E-22,0.0056692,-0.00019534,2.76E-20,1.58E-18,7.33E-20,-5.06E-39
0.00038774,-0.004062,-2.83E-20,0.0055587,-0.00038392,2.79E-20,-1.50E-18,-6.95E-20,3.21E-39
0.00054125,-0.0037525,2.57E-20,0.005451,-0.00053666,-2.58E-20,4.63E-20,1.91E-21,3.70E-39
0.00066134,-0.003464,-3.29E-20,0.0053353,-0.00065773,6.23E-22,-4.58E-20,-2.17E-21,4.96E-40
0.0007548,-0.0031971,3.70E-20,0.0052056,-0.00075159,-2.98E-20,0,0,0
0.00082651,-0.0029511,-8.35E-20,0.0050517,-0.00082259,-5.79E-22,1.41E-18,5.68E-20,-5.37E-38
0.00087872,-0.0027253,1.11E-20,0.0048681,-0.00087512,6.03E-20,-3.46E-20,-3.80E-21,1.33E-37
0.00091725,-0.0025185,7.55E-20,0.0046524,-0.0009135,-3.26E-20,-1.45E-18,-5.60E-20,-6.95E-38
0.00094509,-0.0023295,-3.61E-20,0.0043965,-0.0009414,3.66E-20,1.47E-18,5.19E-20,7.77E-38
0.00096516,-0.0021568,4.71E-20,0.0041002,-0.00096194,-3.28E-21,-2.96E-18,-1.02E-19,-1.48E-37
0.00097963,-0.0019989,-5.07E-20,0.0037643,-0.00097768,-2.98E-20,1.54E-18,5.16E-20,5.88E-38
0.00099215,-0.0018542,4.87E-20,0.0033873,-0.00099071,-4.92E-21,-1.58E-18,-4.80E-20,-1.17E-39
0.0010041,-0.0017216,-5.50E-20,0.0029714,-0.0010026,-4.02E-20,1.65E-18,5.01E-20,-1.78E-38
0.0010153,-0.0015997,-2.09E-20,0.0025181,-0.0010143,2.12E-20,4.97E-20,1.32E-21,-2.66E-39
0.0010267,-0.0014873,3.04E-20,0.0020272,-0.0010263,1.79E-21,7.64E-19,1.99E-20,-2.49E-38
0.001039,-0.0013837,-3.06E-21,0.0015006,-0.0010391,4.83E-20,1.67E-21,-1.15E-21,5.40E-38
0.0010528,-0.0012877,-3.00E-20,0.00093281,-0.0010528,-2.85E-20,-9.15E-19,-2.25E-20,-3.21E-38
0.0010673,-0.0011987,2.64E-20,0.00031792,-0.0010675,5.16E-21,8.90E-19,1.94E-20,4.71E-39
0.0010832,-0.0011161,3.80E-20,-0.00035211,-0.0010836,2.98E-20,-9.79E-19,-2.12E-20,-1.12E-38
0.0011003,-0.0010393,-4.27E-20,-0.0010927,-0.0011013,-3.22E-20,-5.98E-20,-1.13E-21,4.54E-39
0.0011192,-0.00096759,-3.94E-20,-0.0019171,-0.0011209,-4.06E-20,-3.10E-20,-6.06E-22,3.37E-40
0.0011404,-0.0009006,4.28E-20,-0.0028477,-0.001143,4.60E-20,9.69E-19,1.63E-20,5.42E-39
0.0011652,-0.00083786,1.26E-21,-0.0039099,-0.0011679,3.77E-20,-1.08E-18,-1.82E-20,-8.51E-39
0.0011927,-0.00077895,5.38E-21,-0.0051251,-0.0011961,-4.74E-20,0,0,0
0.0012248,-0.0007235,-3.01E-21,-0.0065162,-0.0012279,-4.11E-21,0,0,0
0.001259,-0.00067113,3.00E-21,-0.0081072,-0.0012632,-3.83E-20,7.74E-20,1.00E-21,-4.56E-40
0.0012973,-0.00062156,-3.40E-20,-0.0099235,-0.0013016,9.02E-20,6.67E-19,7.57E-21,2.24E-38
0.0013367,-0.00057448,3.24E-20,-0.011983,-0.0013418,-1.58E-20,-1.34E-18,-1.46E-20,-4.11E-38
0.0013768,-0.00052963,4.21E-20,-0.014304,-0.0013824,-8.55E-20,7.65E-19,7.89E-21,2.09E-38
0.0014155,-0.00048676,-8.24E-20,-0.016919,-0.001421,5.64E-20,0,0,0
0.0014492,-0.00044565,-7.54E-23,-0.019873,-0.0014549,-2.42E-21,-2.47E-20,-2.08E-22,6.21E-43
0.0014755,-0.00040605,5.04E-20,-0.02323,-0.0014812,-1.62E-21,2.60E-20,1.74E-22,2.66E-39
0.0014904,-0.00036777,-2.64E-20,-0.027089,-0.0014965,2.25E-21,0,0,0
