U:0,U:1,U:2
-0.00058617,0.0003806,3.12E-23
-0.00053082,0.00052516,-1.52E-23
-0.00010654,0.00031358,1.30E-19
0.00051506,8.61E-06,-2.13E-22
0.0013369,-0.00034637,-7.25E-20
0.0023639,-0.00073669,3.42E-24
0.0035905,-0.001145,5.52E-20
0.004999,-0.0015481,-4.99E-20
0.0065591,-0.0019209,1.18E-23
0.0082299,-0.0022389,4.21E-20
0.0099631,-0.0024824,-7.75E-20
0.011708,-0.0026383,3.58E-20
0.013415,-0.002702,8.56E-24
0.015042,-0.0026772,-1.54E-20
0.016556,-0.002575,-8.13E-23
0.017935,-0.0024115,-7.47E-23
0.019172,-0.0022052,1.23E-20
0.020269,-0.0019738,-5.34E-24
0.021237,-0.0017325,0
0.022091,-0.0014923,0
0.022848,-0.0012604,0
0.023525,-0.0010407,8.68E-24
0.024137,-0.00083478,8.88E-21
0.024696,-0.00064319,-8.40E-21
0.02521,-0.0004659,-8.33E-21
0.025688,-0.00030289,7.99E-21
0.026136,-0.00015424,-1.55E-23
0.026557,-2.01E-05,1.54E-23
0.026955,9.95E-05,0
0.027335,0.00020457,0
0.027697,0.00029529,-8.09E-21
0.028045,0.00037213,1.62E-20
0.028381,0.00043571,-8.11E-21
0.028705,0.00048687,0
0.029019,0.00052661,-6.71E-23
0.029322,0.00055602,0
0.029615,0.00057629,3.52E-23
0.029897,0.00058857,0
0.030167,0.00059401,9.88E-21
0.030423,0.00059365,2.24E-22
0.030663,0.00058845,-1.05E-20
0.030886,0.00057924,1.10E-20
0.03109,0.00056671,-1.14E-20
0.031273,0.00055146,0
0.031432,0.00053398,-6.33E-21
0.031567,0.00051467,6.56E-21
0.031677,0.00049389,0
0.031761,0.00047194,7.32E-21
0.031818,0.00044908,-1.54E-20
0.031847,0.00042554,8.09E-21
0.03185,0.00040153,8.64E-21
0.031824,0.00037722,-9.03E-21
0.031769,0.00035276,-7.62E-23
0.031685,0.00032826,-1.06E-20
0.03157,0.0003038,1.13E-20
0.031422,0.00027946,6.07E-21
0.031241,0.00025529,-1.32E-20
0.031024,0.00023133,7.20E-21
0.030769,0.00020765,-7.74E-21
0.030477,0.00018434,8.38E-21
0.030144,0.00016151,-7.09E-23
0.02977,0.00013932,-1.94E-23
0.029354,0.00011797,0
0.028894,9.77E-05,4.52E-23
0.028386,7.87E-05,0
0.027826,6.13E-05,5.32E-23
0.027209,4.57E-05,0
0.026526,3.22E-05,0
0.025767,2.09E-05,3.42E-23
0.024919,1.19E-05,3.73E-23
0.023966,5.34E-06,2.05E-23
0.02289,1.05E-06,5.76E-21
0.021667,-1.18E-06,-6.37E-21
0.020268,-1.70E-06,-3.59E-21
0.018644,-9.35E-07,8.11E-21
0.016716,6.14E-07,-4.77E-21
0.014328,2.30E-06,2.96E-21
0.011069,3.36E-06,-4.34E-21
0.0052813,3.61E-06,0
-0.00060405,0.0004984,-3.80E-19
-0.00091579,0.00092421,8.47E-23
-0.00084681,0.000933,1.48E-19
-0.00061128,0.00081449,-1.01E-19
