"coords:0","coords:1","coords:2"
0.43921,2.3422,0.05
0.43949,2.3846,0.05
0.43976,2.4256,0.05
0.44002,2.465,0.05
0.44027,2.5029,0.05
0.44051,2.5392,0.05
0.44074,2.5738,0.05
0.44096,2.6068,0.05
0.44116,2.6381,0.05
0.44136,2.6678,0.05
0.44155,2.6959,0.05
0.44172,2.7224,0.05
0.44189,2.7474,0.05
0.44204,2.7708,0.05
0.44219,2.7929,0.05
0.44232,2.8135,0.05
0.44245,2.8328,0.05
0.44257,2.8509,0.05
0.44268,2.8677,0.05
0.44279,2.8834,0.05
0.44288,2.898,0.05
0.44297,2.9115,0.05
0.44305,2.9242,0.05
0.44313,2.9359,0.05
0.4432,2.9467,0.05
0.44327,2.9567,0.05
0.44333,2.966,0.05
0.44339,2.9747,0.05
0.44344,2.9826,0.05
0.44349,2.99,0.05
0.44353,2.9967,0.05
0.47422,0.7856,0.05
0.47431,0.79253,0.05
0.47441,0.80003,0.05
0.47451,0.80815,0.05
0.47462,0.81694,0.05
0.47475,0.82644,0.05
0.47488,0.8367,0.05
0.47502,0.84778,0.05
0.47517,0.85972,0.05
0.47534,0.8726,0.05
0.47552,0.88646,0.05
0.47571,0.90137,0.05
0.47592,0.91739,0.05
0.47614,0.93458,0.05
0.47637,0.953,0.05
0.47663,0.97272,0.05
0.4769,0.9938,0.05
0.47719,1.0163,0.05
0.4775,1.0403,0.05
0.47782,1.0658,0.05
0.47817,1.0928,0.05
0.47854,1.1215,0.05
0.47893,1.1518,0.05
0.47934,1.1838,0.05
0.47978,1.2175,0.05
0.48023,1.2529,0.05
0.48071,1.2899,0.05
0.4812,1.3286,0.05
0.48172,1.3689,0.05
0.48226,1.4107,0.05
0.48282,1.454,0.05
0.48339,1.4988,0.05
0.48398,1.5448,0.05
0.48459,1.5919,0.05
0.48521,1.6402,0.05
0.48584,1.6893,0.05
0.48648,1.7391,0.05
0.48713,1.7895,0.05
0.48778,1.8402,0.05
0.48844,1.8911,0.05
0.48909,1.9421,0.05
0.48975,1.9928,0.05
0.49039,2.0432,0.05
0.49103,2.093,0.05
0.49167,2.1421,0.05
0.49229,2.1903,0.05
0.49289,2.2375,0.05
0.49348,2.2835,0.05
0.49406,2.3282,0.05
0.49462,2.3716,0.05
0.49515,2.4134,0.05
0.49567,2.4537,0.05
0.49617,2.4924,0.05
0.49665,2.5294,0.05
0.4971,2.5648,0.05
0.49753,2.5984,0.05
0.49794,2.6304,0.05
0.49833,2.6608,0.05
0.4987,2.6894,0.05
0.49905,2.7165,0.05
0.49938,2.742,0.05
0.49969,2.766,0.05
0.49998,2.7885,0.05
0.50025,2.8095,0.05
0.5005,2.8293,0.05
0.50074,2.8477,0.05
0.50096,2.8649,0.05
0.50117,2.8809,0.05
0.50136,2.8958,0.05
0.50154,2.9097,0.05
0.5017,2.9225,0.05
0.50185,2.9345,0.05
0.502,2.9456,0.05
0.50213,2.9558,0.05
0.50225,2.9653,0.05
0.50236,2.9741,0.05
0.50247,2.9822,0.05
0.50256,2.9897,0.05
0.50265,2.9967,0.05
0.51838,0.73884,0.05
0.51851,0.74591,0.05
0.51866,0.75358,0.05
0.51882,0.76187,0.05
0.51899,0.77084,0.05
0.51918,0.78054,0.05
0.51938,0.79102,0.05
0.5196,0.80233,0.05
0.51983,0.81453,0.05
0.52008,0.82767,0.05
0.52036,0.84183,0.05
0.52065,0.85705,0.05
0.52096,0.87341,0.05
0.5213,0.89096,0.05
0.52166,0.90978,0.05
0.52205,0.92991,0.05
0.52246,0.95144,0.05
0.52291,0.97441,0.05
0.52338,0.99888,0.05
0.52388,1.0249,0.05
0.52441,1.0526,0.05
0.52497,1.0818,0.05
0.52556,1.1128,0.05
0.52619,1.1455,0.05
0.52685,1.1799,0.05
0.52755,1.216,0.05
0.52827,1.2538,0.05
0.52903,1.2933,0.05
0.52982,1.3344,0.05
0.53065,1.3771,0.05
0.5315,1.4214,0.05
0.53237,1.4671,0.05
0.53328,1.514,0.05
0.5342,1.5622,0.05
0.53515,1.6114,0.05
0.53611,1.6616,0.05
0.53709,1.7125,0.05
0.53808,1.7639,0.05
0.53908,1.8157,0.05
0.54007,1.8677,0.05
0.54107,1.9197,0.05
0.54207,1.9715,0.05
0.54306,2.023,0.05
0.54404,2.0739,0.05
0.545,2.124,0.05
0.54595,2.1732,0.05
0.54687,2.2214,0.05
0.54778,2.2684,0.05
0.54865,2.314,0.05
0.5495,2.3583,0.05
0.55033,2.401,0.05
0.55112,2.4422,0.05
0.55187,2.4817,0.05
0.5526,2.5195,0.05
0.5533,2.5556,0.05
0.55396,2.59,0.05
0.55458,2.6226,0.05
0.55518,2.6536,0.05
0.55574,2.6829,0.05
0.55627,2.7105,0.05
0.55677,2.7366,0.05
0.55724,2.761,0.05
0.55769,2.784,0.05
0.5581,2.8055,0.05
0.55849,2.8257,0.05
0.55885,2.8445,0.05
0.55919,2.862,0.05
0.5595,2.8784,0.05
0.55979,2.8936,0.05
0.56006,2.9078,0.05
0.56032,2.9209,0.05
0.56055,2.9331,0.05
0.56077,2.9444,0.05
0.56097,2.9549,0.05
0.56116,2.9646,0.05
0.56133,2.9736,0.05
0.56149,2.9819,0.05
0.56164,2.9895,0.05
0.56177,2.9966,0.05
0.56236,0.69191,0.05
0.56254,0.69913,0.05
0.56274,0.70695,0.05
0.56295,0.71542,0.05
0.56318,0.72458,0.05
0.56344,0.73448,0.05
0.56371,0.74517,0.05
0.564,0.75672,0.05
0.56432,0.76917,0.05
0.56466,0.78259,0.05
0.56503,0.79704,0.05
0.56542,0.81258,0.05
0.56584,0.82927,0.05
0.5663,0.84719,0.05
0.56679,0.8664,0.05
0.56731,0.88695,0.05
0.56787,0.90892,0.05
0.56846,0.93237,0.05
0.5691,0.95735,0.05
0.56977,0.98393,0.05
0.57049,1.0121,0.05
0.57125,1.042,0.05
0.57205,1.0736,0.05
0.5729,1.107,0.05
0.57379,1.1421,0.05
0.57473,1.1789,0.05
0.57571,1.2175,0.05
0.57673,1.2579,0.05
0.5778,1.2999,0.05
0.5789,1.3435,0.05
0.58005,1.3886,0.05
0.58124,1.4352,0.05
0.58245,1.4832,0.05
0.5837,1.5324,0.05
0.58498,1.5826,0.05
0.58628,1.6338,0.05
0.5876,1.6857,0.05
0.58893,1.7382,0.05
0.59027,1.7911,0.05
0.59162,1.8442,0.05
0.59297,1.8973,0.05
0.59431,1.9502,0.05
0.59565,2.0027,0.05
0.59697,2.0546,0.05
0.59827,2.1058,0.05
0.59954,2.1561,0.05
0.60079,2.2052,0.05
0.60201,2.2532,0.05
0.60319,2.2998,0.05
0.60434,2.345,0.05
0.60545,2.3886,0.05
0.60652,2.4306,0.05
0.60754,2.4709,0.05
0.60852,2.5095,0.05
0.60946,2.5464,0.05
0.61035,2.5815,0.05
0.61119,2.6148,0.05
0.612,2.6464,0.05
0.61276,2.6763,0.05
0.61347,2.7045,0.05
0.61415,2.7311,0.05
0.61478,2.7561,0.05
0.61538,2.7795,0.05
0.61594,2.8015,0.05
0.61646,2.822,0.05
0.61695,2.8412,0.05
0.6174,2.8592,0.05
0.61783,2.8759,0.05
0.61822,2.8914,0.05
0.61859,2.9059,0.05
0.61893,2.9193,0.05
0.61924,2.9317,0.05
0.61954,2.9433,0.05
0.61981,2.954,0.05
0.62006,2.9639,0.05
0.62029,2.973,0.05
0.62051,2.9815,0.05
0.62071,2.9893,0.05
0.62089,2.9965,0.05
0.60667,0.6453,0.05
0.6069,0.65267,0.05
0.60715,0.66065,0.05
0.60742,0.66929,0.05
0.60771,0.67863,0.05
0.60803,0.68873,0.05
0.60837,0.69964,0.05
0.60873,0.71142,0.05
0.60913,0.72412,0.05
0.60956,0.73781,0.05
0.61002,0.75255,0.05
0.61051,0.76841,0.05
0.61104,0.78544,0.05
0.61161,0.80372,0.05
0.61222,0.82331,0.05
0.61288,0.84428,0.05
0.61358,0.8667,0.05
0.61432,0.89062,0.05
0.61512,0.91611,0.05
0.61596,0.94321,0.05
0.61686,0.972,0.05
0.61781,1.0025,0.05
0.61882,1.0347,0.05
0.61988,1.0688,0.05
0.621,1.1046,0.05
0.62217,1.1422,0.05
0.6234,1.1815,0.05
0.62468,1.2227,0.05
0.62602,1.2655,0.05
0.62741,1.31,0.05
0.62884,1.3561,0.05
0.63033,1.4036,0.05
0.63185,1.4526,0.05
0.63342,1.5027,0.05
0.63502,1.554,0.05
0.63664,1.6062,0.05
0.6383,1.6592,0.05
0.63997,1.7128,0.05
0.64165,1.7667,0.05
0.64334,1.8209,0.05
0.64503,1.875,0.05
0.64671,1.929,0.05
0.64838,1.9826,0.05
0.65004,2.0355,0.05
0.65166,2.0878,0.05
0.65326,2.139,0.05
0.65483,2.1892,0.05
0.65635,2.2381,0.05
0.65784,2.2857,0.05
0.65928,2.3317,0.05
0.66066,2.3762,0.05
0.662,2.4191,0.05
0.66328,2.4602,0.05
0.66451,2.4996,0.05
0.66568,2.5372,0.05
0.6668,2.573,0.05
0.66786,2.607,0.05
0.66887,2.6393,0.05
0.66982,2.6698,0.05
0.67072,2.6985,0.05
0.67156,2.7257,0.05
0.67236,2.7511,0.05
0.6731,2.7751,0.05
0.6738,2.7975,0.05
0.67446,2.8185,0.05
0.67507,2.838,0.05
0.67564,2.8563,0.05
0.67617,2.8734,0.05
0.67666,2.8892,0.05
0.67712,2.9039,0.05
0.67755,2.9176,0.05
0.67795,2.9303,0.05
0.67831,2.9421,0.05
0.67865,2.953,0.05
0.67897,2.9631,0.05
0.67926,2.9725,0.05
0.67953,2.9811,0.05
0.67978,2.9891,0.05
0.68001,2.9965,0.05
0.65151,0.59919,0.05
0.65178,0.60671,0.05
0.65208,0.61484,0.05
0.6524,0.62365,0.05
0.65275,0.63317,0.05
0.65313,0.64347,0.05
0.65353,0.6546,0.05
0.65397,0.66661,0.05
0.65445,0.67956,0.05
0.65496,0.69352,0.05
0.65551,0.70855,0.05
0.6561,0.72471,0.05
0.65673,0.74208,0.05
0.65741,0.76071,0.05
0.65814,0.78069,0.05
0.65893,0.80207,0.05
0.65976,0.82492,0.05
0.66065,0.84931,0.05
0.6616,0.8753,0.05
0.66261,0.90294,0.05
0.66368,0.93228,0.05
0.66482,0.96338,0.05
0.66602,0.99625,0.05
0.66729,1.0309,0.05
0.66862,1.0674,0.05
0.67003,1.1058,0.05
0.67149,1.1459,0.05
0.67303,1.1879,0.05
0.67462,1.2316,0.05
0.67628,1.2769,0.05
0.678,1.3239,0.05
0.67977,1.3724,0.05
0.68159,1.4223,0.05
0.68346,1.4734,0.05
0.68537,1.5257,0.05
0.68732,1.5789,0.05
0.68929,1.6329,0.05
0.69129,1.6876,0.05
0.6933,1.7426,0.05
0.69532,1.7978,0.05
0.69734,1.853,0.05
0.69935,1.908,0.05
0.70134,1.9626,0.05
0.70332,2.0167,0.05
0.70526,2.0699,0.05
0.70717,2.1222,0.05
0.70904,2.1733,0.05
0.71087,2.2232,0.05
0.71264,2.2717,0.05
0.71436,2.3187,0.05
0.71602,2.364,0.05
0.71761,2.4077,0.05
0.71914,2.4497,0.05
0.72061,2.4898,0.05
